review_vi,review_pre,sentiment
"Bàn ghế trong lớp học đã quá cũ, không đảm bảo an toàn cho người sử dụng.","bàn ghế trong lớp học đã quá cũ, không đảm bảo an toàn cho người sử dụng.",negative
Bạn tôi là một người cực kỳ năng động và luôn dành nhiều giờ lái xe cho mọi người.,bạn tôi là một người cực kỳ năng động và luôn dành nhiều giờ lái xe cho mọi người.,positive
Bạn tôi là người cực kỳ trung thực và luôn thể hiện sự tôn trọng với mọi người.,bạn tôi là người cực kỳ trung thực và luôn thể hiện sự tôn trọng với mọi người.,positive
Bảng thông báo của trường đã cũ và không được bảo trì đúng cách.,bảng thông báo của trường đã cũ và không được bảo trì đúng cách.,negative
"Bạn tôi là một người nhiệt huyết và kiên trì, luôn nỗ lực hết mình để đạt được mục tiêu của mình.","bạn tôi là một người nhiệt huyết và kiên trì, luôn nỗ lực hết mình để đạt được mục tiêu của mình.",positive
"Phương pháp đánh giá quá cao, đòi hỏi năng lực của học sinh quá xa so với thực tế.","phương pháp đánh giá quá cao, đòi hỏi năng lực của học sinh quá xa so với thực tế.",negative
Bạn tôi là người luôn lắng nghe và thể hiện sự quan tâm sâu sắc đến mọi người xung quanh.,bạn tôi là người luôn lắng nghe và thể hiện sự quan tâm sâu sắc đến mọi người xung quanh.,positive
Các chương trình nghiên cứu khác không được cấp phép bởi các tổ chức chính thức.,các chương trình nghiên cứu khác không được cấp phép bởi các tổ chức chính thức.,negative
Bạn tôi là một người luôn có tinh thần học tập tích cực và không ngừng hoàn thiện bản thân.,bạn tôi là một người luôn có tinh thần học tập tích cực và không ngừng hoàn thiện bản thân.,positive
Cơ sở vật chất đã quá cũ.,cơ sở vật chất đã quá cũ.,negative
Bạn tôi là người rất chăm chỉ và kiên trì trong công việc.,bạn tôi là người rất chăm chỉ và kiên trì trong công việc.,positive
Các cửa hàng và quán ăn trong khuôn viên trường quá đắt đỏ.,các cửa hàng và quán ăn trong khuôn viên trường quá đắt đỏ.,negative
Bạn tôi là người rất chân thành và có tình cảm đặc biệt với bạn bè.,bạn tôi là người rất chân thành và có tình cảm đặc biệt với bạn bè.,positive
Cửa thường xuyên bị hỏng và không thể mở hoặc đóng được.,cửa thường xuyên bị hỏng và không thể mở hoặc đóng được.,negative
Bạn tôi là người rất chu đáo và có thể hoàn thành công việc rất tốt.,bạn tôi là người rất chu đáo và có thể hoàn thành công việc rất tốt.,positive
Cửa ra vào và cửa sổ có thể không an toàn và kín hoặc khó mở và đóng.,cửa ra vào và cửa sổ có thể không an toàn và kín hoặc khó mở và đóng.,negative
Bạn tôi là người rất đáng tin cậy và luôn hoàn thành tốt nhiệm vụ được giao.,bạn tôi là người rất đáng tin cậy và luôn hoàn thành tốt nhiệm vụ được giao.,positive
"Cửa sổ bẩn, ban đầu không mở được.","cửa sổ bẩn, ban đầu không mở được.",negative
Bạn tôi là người rất có học thức và dũng cảm trong công việc.,bạn tôi là người rất có học thức và dũng cảm trong công việc.,positive
"Phòng học có ít cửa sổ, khiến không khí ngột ngạt.","phòng học có ít cửa sổ, khiến không khí ngột ngạt.",negative
Bạn tôi là người rất năng động và nhiệt tình trong mọi việc.,bạn tôi là người rất năng động và nhiệt tình trong mọi việc.,positive
"Cửa sổ trong phòng học không đóng kín gây ồn ào, gió lùa vào.","cửa sổ trong phòng học không đóng kín gây ồn ào, gió lùa vào.",negative
Bạn tôi là một người rất tài năng và có thể giúp đỡ mọi người rất tốt.,bạn tôi là một người rất tài năng và có thể giúp đỡ mọi người rất tốt.,positive
Cửa sổ phòng học không đóng kín khiến gió lùa vào phòng.,cửa sổ phòng học không đóng kín khiến gió lùa vào phòng.,negative
Bạn tôi là một người rất tận tâm và có thể hỗ trợ đồng nghiệp rất tốt.,bạn tôi là một người rất tận tâm và có thể hỗ trợ đồng nghiệp rất tốt.,positive
Các dịch vụ tài chính của trường học rất bất tiện và thiếu nguồn tài chính.,các dịch vụ tài chính của trường học rất bất tiện và thiếu nguồn tài chính.,negative
"Bạn tôi là một người rất thân thiện và dễ gần, luôn tạo cơ hội học hỏi và giúp đỡ người khác.","bạn tôi là một người rất thân thiện và dễ gần, luôn tạo cơ hội học hỏi và giúp đỡ người khác.",positive
Các dịch vụ tiện ích của trường đã cạn kiệt và không thể đáp ứng được nhu cầu của sinh viên.,các dịch vụ tiện ích của trường đã cạn kiệt và không thể đáp ứng được nhu cầu của sinh viên.,negative
Bạn tôi là một người rất thân thiện và luôn giúp đỡ mọi người xung quanh.,bạn tôi là một người rất thân thiện và luôn giúp đỡ mọi người xung quanh.,positive
Điểm truy cập trang web của trường chậm và không phản hồi.,điểm truy cập trang web của trường chậm và không phản hồi.,negative
Bạn tôi là một người rất thông minh và chăm chỉ.,bạn tôi là một người rất thông minh và chăm chỉ.,positive
Điều kiện vệ sinh và trang thiết bị trong ký túc xá đầy rác thải và chưa được quản lý hiệu quả.,điều kiện vệ sinh và trang thiết bị trong ký túc xá đầy rác thải và chưa được quản lý hiệu quả.,negative
Bạn tôi là người rất giàu lòng nhân ái và có thể đưa ra những ý tưởng xây dựng xã hội.,bạn tôi là người rất giàu lòng nhân ái và có thể đưa ra những ý tưởng xây dựng xã hội.,positive
Chỗ ngồi trong các lớp học của trường quá khó chịu để ngồi trong thời gian dài.,chỗ ngồi trong các lớp học của trường quá khó chịu để ngồi trong thời gian dài.,negative
Bạn tôi là một người rất trung thực và có thể tin cậy được.,bạn tôi là một người rất trung thực và có thể tin cậy được.,positive
"Các giá trị văn hóa chưa được thể hiện đầy đủ trong chương trình giảng dạy, không đảm bảo cho sự phát triển tinh thần của học sinh.","các giá trị văn hóa chưa được thể hiện đầy đủ trong chương trình giảng dạy, không đảm bảo cho sự phát triển tinh thần của học sinh.",negative
Bạn tôi là người rất tự tin và luôn nỗ lực hết mình để đạt được mục tiêu của mình.,bạn tôi là người rất tự tin và luôn nỗ lực hết mình để đạt được mục tiêu của mình.,positive
"Đánh giá của giảng viên không chính xác, dẫn đến sự thất vọng của học sinh.","đánh giá của giảng viên không chính xác, dẫn đến sự thất vọng của học sinh.",negative
Bạn tôi là một người tài năng và có sự phát triển vượt bậc.,bạn tôi là một người tài năng và có sự phát triển vượt bậc.,positive
Những người hướng dẫn không có đủ trình độ hoặc chuyên môn để thực sự dạy cho bạn những gì bạn cần.,những người hướng dẫn không có đủ trình độ hoặc chuyên môn để thực sự dạy cho bạn những gì bạn cần.,negative
Bạn tôi là người tỉ mỉ và tận tâm với công việc.,bạn tôi là người tỉ mỉ và tận tâm với công việc.,positive
Giáo viên chưa sẵn sàng giúp đỡ học sinh nếu các em có thắc mắc.,giáo viên chưa sẵn sàng giúp đỡ học sinh nếu các em có thắc mắc.,negative
Bạn tôi là một người tốt bụng và luôn sẵn lòng giúp đỡ mọi người.,bạn tôi là một người tốt bụng và luôn sẵn lòng giúp đỡ mọi người.,positive
Giáo viên không cho phép đặt câu hỏi hoặc không có sự giao tiếp giữa sinh viên và giảng viên trong lớp học.,giáo viên không cho phép đặt câu hỏi hoặc không có sự giao tiếp giữa sinh viên và giảng viên trong lớp học.,negative
Bạn tôi là người biết lắng nghe và giúp đỡ mọi người.,bạn tôi là người biết lắng nghe và giúp đỡ mọi người.,positive
Giáo viên chưa có nhiều kinh nghiệm giảng dạy và chưa tạo ra giá trị trong học tập của học sinh.,giáo viên chưa có nhiều kinh nghiệm giảng dạy và chưa tạo ra giá trị trong học tập của học sinh.,negative
Bạn tôi là một người có tâm hồn trẻ và luôn biết cách giữ tinh thần vui vẻ để động viên mọi người.,bạn tôi là một người có tâm hồn trẻ và luôn biết cách giữ tinh thần vui vẻ để động viên mọi người.,positive
Giáo viên chưa đáp ứng được nhu cầu học tập của học sinh.,giáo viên chưa đáp ứng được nhu cầu học tập của học sinh.,negative
Bạn tôi là người rất chăm chỉ và có tinh thần học hỏi cao.,bạn tôi là người rất chăm chỉ và có tinh thần học hỏi cao.,positive
Giáo viên không có đủ chuyên môn và không thể dạy học sinh theo chuẩn.,giáo viên không có đủ chuyên môn và không thể dạy học sinh theo chuẩn.,negative
Bạn tôi là một người rất đáng tin cậy và luôn giữ lời hứa.,bạn tôi là một người rất đáng tin cậy và luôn giữ lời hứa.,positive
Giáo viên không đủ giỏi để giúp học sinh hoàn thành dự án.,giáo viên không đủ giỏi để giúp học sinh hoàn thành dự án.,negative
Bạn tôi rất năng động và luôn đưa ra những ý tưởng tuyệt vời.,bạn tôi rất năng động và luôn đưa ra những ý tưởng tuyệt vời.,positive
Giáo viên chưa tạo được môi trường học tập tốt cho học sinh.,giáo viên chưa tạo được môi trường học tập tốt cho học sinh.,negative
Bạn tôi là một người rất thân thiện và dễ thương.,bạn tôi là một người rất thân thiện và dễ thương.,positive
Giáo viên không thấy cần thiết phải đưa ra lời khuyên hoặc hỗ trợ cho học sinh.,giáo viên không thấy cần thiết phải đưa ra lời khuyên hoặc hỗ trợ cho học sinh.,negative
Bạn tôi là người rất thông cảm và luôn chia sẻ với những người xung quanh.,bạn tôi là người rất thông cảm và luôn chia sẻ với những người xung quanh.,positive
Giáo viên thường không sẵn lòng giúp đỡ học sinh nếu các em gặp khó khăn trong học tập.,giáo viên thường không sẵn lòng giúp đỡ học sinh nếu các em gặp khó khăn trong học tập.,negative
Bạn tôi là người rất thẳng thắn và luôn đối mặt với mọi vấn đề một cách trung thực.,bạn tôi là người rất thẳng thắn và luôn đối mặt với mọi vấn đề một cách trung thực.,positive
Hành lang và tiền sảnh không đủ tối giản để mọi người có.,hành lang và tiền sảnh không đủ tối giản để mọi người có.,negative
Bạn tôi là người rất chung thủy và luôn giữ lời hứa.,bạn tôi là người rất chung thủy và luôn giữ lời hứa.,positive
Hoạt động giao lưu quốc tế còn thiếu tính chuyên môn cao.,hoạt động giao lưu quốc tế còn thiếu tính chuyên môn cao.,negative
Bạn tôi là người rất trung thực và luôn không ngại đưa ra những ý kiến ​​chân thành của mình.,bạn tôi là người rất trung thực và luôn không ngại đưa ra những ý kiến ​​chân thành của mình.,positive
Hoạt động của học sinh chưa đủ sáng tạo và hấp dẫn.,hoạt động của học sinh chưa đủ sáng tạo và hấp dẫn.,negative
"Bạn tôi là người rất trung thực và luôn thể hiện sự tôn trọng, đồng cảm với mọi người.","bạn tôi là người rất trung thực và luôn thể hiện sự tôn trọng, đồng cảm với mọi người.",positive
Hoạt động của sinh viên thiếu sự đa dạng và sáng tạo.,hoạt động của sinh viên thiếu sự đa dạng và sáng tạo.,negative
Bạn tôi là người rất hay cười và luôn lạc quan về cuộc sống.,bạn tôi là người rất hay cười và luôn lạc quan về cuộc sống.,positive
Hoạt động của sinh viên thiếu tính sáng tạo và cần cải tiến.,hoạt động của sinh viên thiếu tính sáng tạo và cần cải tiến.,negative
Bạn tôi tràn đầy năng lượng và sẽ thành công trong tương lai.,bạn tôi tràn đầy năng lượng và sẽ thành công trong tương lai.,positive
Các khu vực công cộng ở trường này không đủ sạch sẽ.,các khu vực công cộng ở trường này không đủ sạch sẽ.,negative
"Bạn tôi luôn quan tâm đến mọi người xung quanh một cách tốt nhất, khiến ai cũng có cảm giác được quan tâm và yêu thương.","bạn tôi luôn quan tâm đến mọi người xung quanh một cách tốt nhất, khiến ai cũng có cảm giác được quan tâm và yêu thương.",positive
"Các khu vực trường học như xe buýt, khu đi bộ khá độc hại khi học sinh tiếp xúc với chất độc hại.","các khu vực trường học như xe buýt, khu đi bộ khá độc hại khi học sinh tiếp xúc với chất độc hại.",negative
Bạn tôi luôn cố gắng và không từ bỏ ước mơ của mình.,bạn tôi luôn cố gắng và không từ bỏ ước mơ của mình.,positive
Các khu vui chơi giải trí của sinh viên ngập tràn rác thải.,các khu vui chơi giải trí của sinh viên ngập tràn rác thải.,negative
"Bãi đậu xe quá nhỏ, học sinh không tìm được chỗ đậu xe đạp.","bãi đậu xe quá nhỏ, học sinh không tìm được chỗ đậu xe đạp.",negative
Bạn tôi luôn có tinh thần đồng đội và cảm thấy vui vẻ khi chia sẻ niềm đam mê của mình với mọi người.,bạn tôi luôn có tinh thần đồng đội và cảm thấy vui vẻ khi chia sẻ niềm đam mê của mình với mọi người.,positive
Bạn tôi luôn có tinh thần đồng đội và cảm thấy vui vẻ khi giúp đỡ mọi người.,bạn tôi luôn có tinh thần đồng đội và cảm thấy vui vẻ khi giúp đỡ mọi người.,positive
Các khu mua sắm và dịch vụ trong khuôn viên trường quá đắt đỏ.,các khu mua sắm và dịch vụ trong khuôn viên trường quá đắt đỏ.,negative
Bạn tôi luôn đặt lợi ích của người khác lên hàng đầu và luôn làm việc vì sự thịnh vượng của cộng đồng.,bạn tôi luôn đặt lợi ích của người khác lên hàng đầu và luôn làm việc vì sự thịnh vượng của cộng đồng.,positive
Các khu vực ngoài trời trong trường quá ít và chưa được bổ sung đầy đủ.,các khu vực ngoài trời trong trường quá ít và chưa được bổ sung đầy đủ.,negative
Bạn tôi luôn đặt tâm huyết vào công việc và hoàn thành nó một cách xuất sắc.,bạn tôi luôn đặt tâm huyết vào công việc và hoàn thành nó một cách xuất sắc.,positive
Các khu vực chung dành cho sinh viên bẩn thỉu và không có tác phẩm nghệ thuật hay trang trí.,các khu vực chung dành cho sinh viên bẩn thỉu và không có tác phẩm nghệ thuật hay trang trí.,negative
Bạn tôi luôn giải quyết mọi vấn đề một cách chuyên nghiệp và hiệu quả.,bạn tôi luôn giải quyết mọi vấn đề một cách chuyên nghiệp và hiệu quả.,positive
"Các khu vực chung của trường như hội trường, thư viện không đủ chỗ cho số lượng học sinh.","các khu vực chung của trường như hội trường, thư viện không đủ chỗ cho số lượng học sinh.",negative
Bạn tôi luôn giữ một tâm hồn trong sáng và có phẩm chất đạo đức cao.,bạn tôi luôn giữ một tâm hồn trong sáng và có phẩm chất đạo đức cao.,positive
Những kỹ năng quá nặng không được đưa vào khóa học.,những kỹ năng quá nặng không được đưa vào khóa học.,negative
Bạn tôi luôn giữ tinh thần lạc quan và có khả năng làm việc nhóm tốt.,bạn tôi luôn giữ tinh thần lạc quan và có khả năng làm việc nhóm tốt.,positive
"Máy móc trong phòng thực hành của trường đã quá cũ, không thể sử dụng hiệu quả.","máy móc trong phòng thực hành của trường đã quá cũ, không thể sử dụng hiệu quả.",negative
Bạn tôi luôn lạc quan và tích cực trong mọi hoàn cảnh khó khăn.,bạn tôi luôn lạc quan và tích cực trong mọi hoàn cảnh khó khăn.,positive
"Máy photocopy, máy in bị hư hỏng nặng gây nhiều khó khăn trong quá trình học tập.","máy photocopy, máy in bị hư hỏng nặng gây nhiều khó khăn trong quá trình học tập.",negative
Bạn tôi luôn đặt tình yêu và sự nhiệt tình của mình vào các hoạt động ở trường.,bạn tôi luôn đặt tình yêu và sự nhiệt tình của mình vào các hoạt động ở trường.,positive
"Máy tính được cài đặt phần mềm bị lỗi, không đáp ứng được nhu cầu học tập của học sinh.","máy tính được cài đặt phần mềm bị lỗi, không đáp ứng được nhu cầu học tập của học sinh.",negative
Bạn tôi luôn làm việc bằng sự tín nhiệm và trung thực.,bạn tôi luôn làm việc bằng sự tín nhiệm và trung thực.,positive
"Máy tính trong phòng máy tính của trường tôi đã cũ và không đáp ứng được yêu cầu học tập, nghiên cứu của tôi.","máy tính trong phòng máy tính của trường tôi đã cũ và không đáp ứng được yêu cầu học tập, nghiên cứu của tôi.",negative
Bạn tôi luôn rộng lượng và luôn chia sẻ suy nghĩ của mình với người khác.,bạn tôi luôn rộng lượng và luôn chia sẻ suy nghĩ của mình với người khác.,positive
Máy tính trong thư viện cũ và chậm.,máy tính trong thư viện cũ và chậm.,negative
"Bạn tôi luôn tận tâm và chu đáo trong mọi việc, đặc biệt là trong nghiên cứu và giảng dạy.","bạn tôi luôn tận tâm và chu đáo trong mọi việc, đặc biệt là trong nghiên cứu và giảng dạy.",positive
Các chủ đề khó hiểu và không liên quan đến lĩnh vực học tập của bạn.,các chủ đề khó hiểu và không liên quan đến lĩnh vực học tập của bạn.,negative
Bạn tôi luôn tận tâm và sẵn sàng giúp đỡ người khác trong mọi hoàn cảnh.,bạn tôi luôn tận tâm và sẵn sàng giúp đỡ người khác trong mọi hoàn cảnh.,positive
"Các môn học không có SGK đầy đủ, học sinh phải tự tìm tài liệu.","các môn học không có sgk đầy đủ, học sinh phải tự tìm tài liệu.",negative
Bạn tôi luôn tìm cách giải quyết vấn đề và không ngừng khám phá những điều mới mẻ.,bạn tôi luôn tìm cách giải quyết vấn đề và không ngừng khám phá những điều mới mẻ.,positive
Đề tài không có ứng dụng trong nghiên cứu khoa học.,đề tài không có ứng dụng trong nghiên cứu khoa học.,negative
Bạn tôi luôn rất lịch sự và có tư duy tốt.,bạn tôi luôn rất lịch sự và có tư duy tốt.,positive
"Các chủ đề không liên kết với nhau, không tạo ra sự liên kết.","các chủ đề không liên kết với nhau, không tạo ra sự liên kết.",negative
"Bạn tôi luôn vui vẻ, hòa đồng nên mọi người xung quanh đều cảm thấy thoải mái, an tâm.","bạn tôi luôn vui vẻ, hòa đồng nên mọi người xung quanh đều cảm thấy thoải mái, an tâm.",positive
Các môn học không liên quan đến chuyên ngành của tôi.,các môn học không liên quan đến chuyên ngành của tôi.,negative
Bạn tôi là người rất cầu tiến và luôn muốn học hỏi nhiều hơn.,bạn tôi là người rất cầu tiến và luôn muốn học hỏi nhiều hơn.,positive
Các môn học không có tính thực tiễn và không có ứng dụng trong đời sống thực tế.,các môn học không có tính thực tiễn và không có ứng dụng trong đời sống thực tế.,negative
Bạn tôi rất chăm chỉ và siêng năng học tập.,bạn tôi rất chăm chỉ và siêng năng học tập.,positive
Đề bài quá dài và quá khó hiểu khiến học sinh mất tập trung.,đề bài quá dài và quá khó hiểu khiến học sinh mất tập trung.,negative
Bạn tôi rất chăm chỉ và ham học hỏi.,bạn tôi rất chăm chỉ và ham học hỏi.,positive
"Các môn học quá nhiều, khó có thể hoàn thành trong một học kỳ.","các môn học quá nhiều, khó có thể hoàn thành trong một học kỳ.",negative
Bạn tôi rất chăm chỉ và luôn hoàn thành công việc đúng thời hạn.,bạn tôi rất chăm chỉ và luôn hoàn thành công việc đúng thời hạn.,positive
Có quá nhiều môn học và không thể hoàn thành kịp thời.,có quá nhiều môn học và không thể hoàn thành kịp thời.,negative
"Bạn tôi rất chăm chỉ và lý trí trong mọi việc, luôn đạt được kết quả tốt nhất.","bạn tôi rất chăm chỉ và lý trí trong mọi việc, luôn đạt được kết quả tốt nhất.",positive
Các chủ đề trở nên buồn tẻ và nhàm chán.,các chủ đề trở nên buồn tẻ và nhàm chán.,negative
Bạn tôi là người rất chia sẻ và giúp đỡ người khác trong cả công việc lẫn cuộc sống.,bạn tôi là người rất chia sẻ và giúp đỡ người khác trong cả công việc lẫn cuộc sống.,positive
Nhà ăn của trường không được thiết kế phù hợp để phục vụ học sinh.,nhà ăn của trường không được thiết kế phù hợp để phục vụ học sinh.,negative
Bạn tôi là người rất chủ động và có thể xử lý tình huống tốt.,bạn tôi là người rất chủ động và có thể xử lý tình huống tốt.,positive
Nhân viên tại trường luôn thiếu thân thiện và không đáp ứng được nhu cầu của học sinh.,nhân viên tại trường luôn thiếu thân thiện và không đáp ứng được nhu cầu của học sinh.,negative
Bạn tôi rất chuyên nghiệp và hiệu quả trong mọi hoạt động.,bạn tôi rất chuyên nghiệp và hiệu quả trong mọi hoạt động.,positive
Nhân viên nhà trường không thân thiện và không cung cấp hỗ trợ đầy đủ cho sinh viên.,nhân viên nhà trường không thân thiện và không cung cấp hỗ trợ đầy đủ cho sinh viên.,negative
Bạn tôi rất đam mê và nghiêm túc trong việc học.,bạn tôi rất đam mê và nghiêm túc trong việc học.,positive
Lớp học bẩn và không được giữ sạch sẽ.,lớp học bẩn và không được giữ sạch sẽ.,negative
"Bạn tôi là người rất đáng tin cậy và trung thực, nhiệt tình và chân thành.","bạn tôi là người rất đáng tin cậy và trung thực, nhiệt tình và chân thành.",positive
"Lớp học đã lỗi thời và không được bảo trì đúng cách, khiến việc học trở nên khó khăn.","lớp học đã lỗi thời và không được bảo trì đúng cách, khiến việc học trở nên khó khăn.",negative
Bạn tôi rất vui tính và hòa đồng với mọi người.,bạn tôi rất vui tính và hòa đồng với mọi người.,positive
Lớp học ồn ào với tiếng ồn từ bên ngoài.,lớp học ồn ào với tiếng ồn từ bên ngoài.,negative
"Bạn tôi rất dễ chịu và vui vẻ, luôn tràn đầy cá tính và sức sống.","bạn tôi rất dễ chịu và vui vẻ, luôn tràn đầy cá tính và sức sống.",positive
Lớp học ồn ào khiến học sinh khó tập trung học tập.,lớp học ồn ào khiến học sinh khó tập trung học tập.,negative
Bạn tôi là người rất dễ gần và hòa đồng nên mọi người xung quanh đều cảm thấy thoải mái.,bạn tôi là người rất dễ gần và hòa đồng nên mọi người xung quanh đều cảm thấy thoải mái.,positive
Lớp học của trường không có gì đặc biệt hay đáng nhớ.,lớp học của trường không có gì đặc biệt hay đáng nhớ.,negative
Bạn tôi rất tốt và khiến mọi người đều cảm thấy thoải mái.,bạn tôi rất tốt và khiến mọi người đều cảm thấy thoải mái.,positive
Phòng học của trường không đủ sáng để học sinh làm việc và học tập.,phòng học của trường không đủ sáng để học sinh làm việc và học tập.,negative
"Bạn tôi rất dễ thương và năng động, luôn là nguồn động lực to lớn cho những người xung quanh.","bạn tôi rất dễ thương và năng động, luôn là nguồn động lực to lớn cho những người xung quanh.",positive
Lớp học của trường không đủ tiếng ồn khiến học sinh khó tập trung.,lớp học của trường không đủ tiếng ồn khiến học sinh khó tập trung.,negative
Bạn tôi rất giỏi về kỹ năng và có thể đưa ra những phản hồi mang tính xây dựng cho đồng nghiệp.,bạn tôi rất giỏi về kỹ năng và có thể đưa ra những phản hồi mang tính xây dựng cho đồng nghiệp.,positive
Phòng học của trường không đủ sáng và mát vào mùa hè.,phòng học của trường không đủ sáng và mát vào mùa hè.,negative
Bạn bè của tôi rất hòa đồng và dễ gần.,bạn bè của tôi rất hòa đồng và dễ gần.,positive
"Phòng học của trường quá ẩm ướt, mốc meo.","phòng học của trường quá ẩm ướt, mốc meo.",negative
Bạn bè của tôi rất hòa đồng và luôn tạo sự thoải mái trong nhóm.,bạn bè của tôi rất hòa đồng và luôn tạo sự thoải mái trong nhóm.,positive
Phòng học của trường rất cũ và không được bảo trì đầy đủ.,phòng học của trường rất cũ và không được bảo trì đầy đủ.,negative
"Bạn tôi rất khéo léo và tỉ mỉ khiến mọi người xung quanh đều cảm thấy hài lòng, vui vẻ hơn.","bạn tôi rất khéo léo và tỉ mỉ khiến mọi người xung quanh đều cảm thấy hài lòng, vui vẻ hơn.",positive
Lớp học của trường rất ồn ào khiến học sinh khó tập trung học tập.,lớp học của trường rất ồn ào khiến học sinh khó tập trung học tập.,negative
Bạn tôi rất kiên trì và luôn nỗ lực hết mình để đạt được thành công.,bạn tôi rất kiên trì và luôn nỗ lực hết mình để đạt được thành công.,positive
"Lớp học ở trường thường rất nóng, không đủ ánh sáng và không có máy điều hòa.","lớp học ở trường thường rất nóng, không đủ ánh sáng và không có máy điều hòa.",negative
Bạn tôi rất năng động và có thể mang lại những ý tưởng mới cho nhóm.,bạn tôi rất năng động và có thể mang lại những ý tưởng mới cho nhóm.,positive
Các lớp học ở gần đường phố ồn ào.,các lớp học ở gần đường phố ồn ào.,negative
Bạn tôi rất năng động và luôn có tinh thần đồng đội.,bạn tôi rất năng động và luôn có tinh thần đồng đội.,positive
Lớp học không có đủ năng lượng để đảm bảo học sinh không bị mệt mỏi.,lớp học không có đủ năng lượng để đảm bảo học sinh không bị mệt mỏi.,negative
"Bạn tôi rất năng động và sáng tạo, luôn có những ý tưởng mới, đột phá trong công việc.","bạn tôi rất năng động và sáng tạo, luôn có những ý tưởng mới, đột phá trong công việc.",positive
"Lớp học không có đủ sách, tài liệu dùng chung cho học sinh.","lớp học không có đủ sách, tài liệu dùng chung cho học sinh.",negative
Bạn tôi rất năng động và vui vẻ.,bạn tôi rất năng động và vui vẻ.,positive
Lớp học không được dọn dẹp hàng ngày.,lớp học không được dọn dẹp hàng ngày.,negative
Bạn tôi rất nhạy bén và có khả năng phân tích tốt hơn bất kỳ ai khác.,bạn tôi rất nhạy bén và có khả năng phân tích tốt hơn bất kỳ ai khác.,positive
Lớp học không sạch sẽ và không có đủ trang thiết bị phục vụ học tập.,lớp học không sạch sẽ và không có đủ trang thiết bị phục vụ học tập.,negative
"Bạn tôi rất nhiệt tình và chịu khó, đặc biệt là trong quá trình nghiên cứu và giảng dạy.","bạn tôi rất nhiệt tình và chịu khó, đặc biệt là trong quá trình nghiên cứu và giảng dạy.",positive
"Phòng học nhỏ, chật chội và không có đủ ánh sáng tự nhiên.","phòng học nhỏ, chật chội và không có đủ ánh sáng tự nhiên.",negative
Bạn tôi rất nhiệt tình và quan tâm đến những người xung quanh tốt nhất có thể.,bạn tôi rất nhiệt tình và quan tâm đến những người xung quanh tốt nhất có thể.,positive
"Lớp học ở đây đều giống nhau và không có gì đặc biệt, một nơi rất nhàm chán.","lớp học ở đây đều giống nhau và không có gì đặc biệt, một nơi rất nhàm chán.",negative
"Bạn tôi rất siêng năng và quyết tâm trong mọi công việc, luôn đạt được kết quả tốt nhất.","bạn tôi rất siêng năng và quyết tâm trong mọi công việc, luôn đạt được kết quả tốt nhất.",positive
Lớp học quá đông và không đáp ứng được nhu cầu của học sinh.,lớp học quá đông và không đáp ứng được nhu cầu của học sinh.,negative
Bạn tôi rất khôn ngoan và có khả năng quan sát tốt.,bạn tôi rất khôn ngoan và có khả năng quan sát tốt.,positive
Lớp học quá ồn ào và nhanh khiến học sinh không thể tập trung khi học.,lớp học quá ồn ào và nhanh khiến học sinh không thể tập trung khi học.,negative
"Bạn tôi rất tài năng và chuyên nghiệp, luôn có những ý tưởng đột phá.","bạn tôi rất tài năng và chuyên nghiệp, luôn có những ý tưởng đột phá.",positive
"Lớp học quá ồn ào, động cơ điện quá ồn ào.","lớp học quá ồn ào, động cơ điện quá ồn ào.",negative
"Bạn tôi rất tận tâm và nhiệt tình trong mọi hoạt động, đó thực sự là một phong cách đáng trân trọng và khác biệt.","bạn tôi rất tận tâm và nhiệt tình trong mọi hoạt động, đó thực sự là một phong cách đáng trân trọng và khác biệt.",positive
"Lớp học quá tập trung, không đủ chỗ cho học sinh ngồi.","lớp học quá tập trung, không đủ chỗ cho học sinh ngồi.",negative
"Bạn tôi rất tập trung và nghiêm túc trong mọi công việc, luôn đạt được kết quả tốt nhất.","bạn tôi rất tập trung và nghiêm túc trong mọi công việc, luôn đạt được kết quả tốt nhất.",positive
Các lớp học sử dụng thiết bị cũ và khắc nghiệt.,các lớp học sử dụng thiết bị cũ và khắc nghiệt.,negative
"Bạn tôi rất thân thiện và hài hước, khiến mọi người xung quanh đều cảm thấy vui vẻ, thoải mái.","bạn tôi rất thân thiện và hài hước, khiến mọi người xung quanh đều cảm thấy vui vẻ, thoải mái.",positive
"Phòng học ở trường quá khó tìm, hướng dẫn cũng không rõ ràng.","phòng học ở trường quá khó tìm, hướng dẫn cũng không rõ ràng.",negative
Bạn tôi rất hiểu chuyện và luôn giúp đỡ mọi người khi cần thiết.,bạn tôi rất hiểu chuyện và luôn giúp đỡ mọi người khi cần thiết.,positive
"Lớp học thiếu ánh sáng tự nhiên, thiếu sức sống, tạo ra môi trường học tập khó chịu.","lớp học thiếu ánh sáng tự nhiên, thiếu sức sống, tạo ra môi trường học tập khó chịu.",negative
Bạn tôi rất thông minh và có khả năng giải quyết vấn đề rất tốt.,bạn tôi rất thông minh và có khả năng giải quyết vấn đề rất tốt.,positive
"Lớp học tối tăm, u ám khiến học sinh không thể tập trung.","lớp học tối tăm, u ám khiến học sinh không thể tập trung.",negative
Bạn tôi rất thông minh và có thể giải quyết vấn đề tốt hơn bất kỳ ai khác.,bạn tôi rất thông minh và có thể giải quyết vấn đề tốt hơn bất kỳ ai khác.,positive
